Date,Open,High,Low,Close,Volume
2025-05-15T00:00:00,1.32638,1.32648,1.32637,1.32638,54
2025-05-15T00:01:00,1.32638,1.32638,1.32614,1.32618,63
2025-05-15T00:02:00,1.3262,1.32641,1.32618,1.32641,45
2025-05-15T00:03:00,1.32642,1.32648,1.32621,1.32628,58
2025-05-15T00:04:00,1.32627,1.32627,1.32605,1.32617,40
2025-05-15T00:05:00,1.32618,1.32628,1.32607,1.32608,49
2025-05-15T00:06:00,1.32611,1.32628,1.32611,1.32625,39
2025-05-15T00:07:00,1.32625,1.32627,1.32618,1.32618,32
2025-05-15T00:08:00,1.32617,1.32625,1.32611,1.32624,48
2025-05-15T00:09:00,1.32622,1.32627,1.32621,1.32625,33
2025-05-15T00:10:00,1.32627,1.32645,1.32625,1.32638,48
2025-05-15T00:11:00,1.32638,1.32645,1.32625,1.32628,43
2025-05-15T00:12:00,1.32625,1.32625,1.32615,1.32617,42
2025-05-15T00:13:00,1.32618,1.32622,1.32617,1.32621,24
2025-05-15T00:14:00,1.32622,1.32628,1.32607,1.32607,47
2025-05-15T00:15:00,1.32608,1.32611,1.32597,1.32598,56
2025-05-15T00:16:00,1.326,1.32618,1.326,1.32617,56
2025-05-15T00:17:00,1.32615,1.3262,1.32615,1.3262,20
2025-05-15T00:18:00,1.32618,1.32621,1.32617,1.32621,24
2025-05-15T00:19:00,1.3262,1.32642,1.3262,1.32641,65
2025-05-15T00:20:00,1.32642,1.32642,1.32634,1.32634,44
2025-05-15T00:21:00,1.32631,1.32631,1.3262,1.32625,40
2025-05-15T00:22:00,1.32628,1.32638,1.32625,1.32637,56
2025-05-15T00:23:00,1.32638,1.32648,1.32637,1.32638,50
2025-05-15T00:24:00,1.32639,1.32645,1.32631,1.32635,39
2025-05-15T00:25:00,1.32637,1.32649,1.32628,1.32647,61
2025-05-15T00:26:00,1.32645,1.32651,1.32641,1.32651,47
2025-05-15T00:27:00,1.32652,1.32669,1.32651,1.32668,48
2025-05-15T00:28:00,1.32666,1.32668,1.32658,1.32658,28
2025-05-15T00:29:00,1.32659,1.32659,1.32651,1.32654,26
2025-05-15T00:30:00,1.32652,1.32659,1.32648,1.32648,62
2025-05-15T00:31:00,1.32648,1.32679,1.32648,1.32679,67
2025-05-15T00:32:00,1.32679,1.32689,1.32675,1.32688,64
2025-05-15T00:33:00,1.32686,1.3271,1.32686,1.32709,84
2025-05-15T00:34:00,1.32708,1.32709,1.32679,1.32679,43
2025-05-15T00:35:00,1.32682,1.32688,1.32656,1.32668,44
2025-05-15T00:36:00,1.32666,1.32678,1.32664,1.32678,50
2025-05-15T00:37:00,1.32679,1.32679,1.32672,1.32678,36
2025-05-15T00:38:00,1.32676,1.32699,1.32676,1.32695,41
2025-05-15T00:39:00,1.32695,1.32699,1.32689,1.32695,36
2025-05-15T00:40:00,1.32695,1.32706,1.32689,1.32695,61
2025-05-15T00:41:00,1.32695,1.32695,1.32689,1.32693,27
2025-05-15T00:42:00,1.32691,1.32696,1.32681,1.32685,53
2025-05-15T00:43:00,1.32686,1.32696,1.32679,1.32688,64
2025-05-15T00:44:00,1.32689,1.32689,1.32683,1.32686,20
2025-05-15T00:45:00,1.32686,1.32693,1.32685,1.32685,44
2025-05-15T00:46:00,1.32686,1.32698,1.32685,1.32689,32
2025-05-15T00:47:00,1.32689,1.32696,1.32689,1.32693,44
2025-05-15T00:48:00,1.32692,1.32702,1.32692,1.32702,43
2025-05-15T00:49:00,1.327,1.327,1.32686,1.32688,36
2025-05-15T00:50:00,1.32686,1.32706,1.32685,1.32702,57
2025-05-15T00:51:00,1.32702,1.32713,1.32702,1.32712,45
2025-05-15T00:52:00,1.32713,1.32716,1.327,1.32716,62
2025-05-15T00:53:00,1.32716,1.32732,1.32716,1.32727,54
2025-05-15T00:54:00,1.32729,1.32737,1.32726,1.32729,56
2025-05-15T00:55:00,1.32727,1.32729,1.32719,1.32727,82
2025-05-15T00:56:00,1.32725,1.32726,1.32706,1.32726,58
2025-05-15T00:57:00,1.32725,1.32729,1.32723,1.32726,50
2025-05-15T00:58:00,1.32726,1.3274,1.32726,1.32737,48
2025-05-15T00:59:00,1.32736,1.32747,1.32726,1.32726,60
2025-05-15T01:00:00,1.32727,1.32756,1.32726,1.32754,68
2025-05-15T01:01:00,1.32753,1.32781,1.32753,1.32767,53
2025-05-15T01:02:00,1.32767,1.32787,1.32767,1.32777,70
2025-05-15T01:03:00,1.32777,1.32794,1.32777,1.3279,49
2025-05-15T01:04:00,1.3279,1.3279,1.32767,1.3277,40
2025-05-15T01:05:00,1.3277,1.3277,1.32747,1.32747,50
2025-05-15T01:06:00,1.3275,1.32767,1.3275,1.32763,61
2025-05-15T01:07:00,1.3276,1.3276,1.32747,1.32753,90
2025-05-15T01:08:00,1.32752,1.32757,1.3273,1.32747,87
2025-05-15T01:09:00,1.32749,1.3275,1.32737,1.32742,82
2025-05-15T01:10:00,1.32743,1.32777,1.32743,1.32774,76
2025-05-15T01:11:00,1.32773,1.32777,1.32761,1.32767,30
2025-05-15T01:12:00,1.32766,1.32766,1.3275,1.32761,54
2025-05-15T01:13:00,1.32763,1.32773,1.32759,1.32763,33
2025-05-15T01:14:00,1.32763,1.32774,1.32752,1.32774,54
2025-05-15T01:15:00,1.32773,1.32793,1.32764,1.32767,101
2025-05-15T01:16:00,1.3277,1.32777,1.32763,1.32773,68
2025-05-15T01:17:00,1.32774,1.32787,1.32773,1.32777,75
2025-05-15T01:18:00,1.32776,1.32793,1.3277,1.32788,65
2025-05-15T01:19:00,1.3279,1.32794,1.32767,1.3278,53
2025-05-15T01:20:00,1.32778,1.32787,1.32763,1.32763,40
2025-05-15T01:21:00,1.32764,1.32773,1.32764,1.32769,35
2025-05-15T01:22:00,1.32767,1.32769,1.32757,1.32767,25
2025-05-15T01:23:00,1.32769,1.32777,1.32767,1.32777,19
2025-05-15T01:24:00,1.32776,1.32801,1.32776,1.32794,38
2025-05-15T01:25:00,1.32794,1.32817,1.32791,1.32817,68
2025-05-15T01:26:00,1.32817,1.32817,1.32798,1.32808,53
2025-05-15T01:27:00,1.32804,1.32804,1.32787,1.32793,53
2025-05-15T01:28:00,1.32794,1.32794,1.32788,1.32788,38
2025-05-15T01:29:00,1.32787,1.32794,1.32776,1.32786,65
2025-05-15T01:30:00,1.32794,1.32828,1.32794,1.32817,96
2025-05-15T01:31:00,1.32817,1.32817,1.32787,1.32803,67
2025-05-15T01:32:00,1.32804,1.32804,1.32774,1.32797,67
2025-05-15T01:33:00,1.32794,1.32804,1.32787,1.32787,64
2025-05-15T01:34:00,1.32786,1.32807,1.32774,1.32797,104
2025-05-15T01:35:00,1.32795,1.32798,1.32793,1.32797,52
2025-05-15T01:36:00,1.32794,1.32808,1.3279,1.32798,71
2025-05-15T01:37:00,1.32803,1.32822,1.32803,1.3282,86
2025-05-15T01:38:00,1.32818,1.32828,1.32817,1.32828,53
2025-05-15T01:39:00,1.3283,1.32838,1.3283,1.32837,45
2025-05-15T01:40:00,1.32838,1.32844,1.3283,1.32837,104
2025-05-15T01:41:00,1.32838,1.32838,1.32827,1.32835,52
2025-05-15T01:42:00,1.32834,1.32837,1.32828,1.32837,43
2025-05-15T01:43:00,1.32835,1.32837,1.32828,1.32828,68
2025-05-15T01:44:00,1.3283,1.3283,1.3282,1.3282,29
2025-05-15T01:45:00,1.32821,1.32835,1.32821,1.32834,48
2025-05-15T01:46:00,1.32832,1.32838,1.32824,1.32832,73
2025-05-15T01:47:00,1.32831,1.32835,1.32821,1.32822,44
2025-05-15T01:48:00,1.32824,1.32828,1.3281,1.32818,61
2025-05-15T01:49:00,1.32817,1.32818,1.32801,1.32804,68
2025-05-15T01:50:00,1.32801,1.32811,1.32793,1.32811,61
2025-05-15T01:51:00,1.32811,1.3283,1.3281,1.32818,66
2025-05-15T01:52:00,1.3282,1.32824,1.32817,1.32818,34
2025-05-15T01:53:00,1.32815,1.32815,1.32787,1.32794,66
