date,low,open,obv,close
2025-05-01 00:20:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:21:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:22:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:23:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:24:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:25:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:26:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:27:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:28:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:29:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:30:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:31:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:32:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:33:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:34:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:35:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:36:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:37:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:38:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:39:00+00:00,-2.365674416535791,-2.3324178833084113,-1.6281754115996456,-2.3408770068532547
2025-05-01 00:40:00+00:00,-1.9917839521044776,-2.2642239088649667,-1.4469948676424484,-1.968954311714477
2025-05-01 00:41:00+00:00,-1.7380408473888114,-2.0220913831173424,-1.121400431041985,-1.6374955609939754
2025-05-01 00:42:00+00:00,-1.5023928861692415,-1.6065114074797595,-1.4545315655888411,-1.5204203115991852
2025-05-01 00:43:00+00:00,-1.3799544294392967,-1.5657223173036534,-1.7270464884265597,-1.3918048729171453
2025-05-01 00:44:00+00:00,-1.5675025970830385,-1.4642986373487799,-1.045459343993135,-1.1524114673675607
2025-05-01 00:45:00+00:00,-0.9593692515142427,-1.1103797536230908,-0.47652499339985444,-0.9048461406896036
2025-05-01 00:46:00+00:00,-1.2397433490256622,-0.8645790160837332,-1.0417446633551288,-0.9222035114738685
2025-05-01 00:47:00+00:00,-0.8626200776338921,-0.8518510852196479,-1.295980445770459,-0.8822897816437653
2025-05-01 00:48:00+00:00,-0.739047351999918,-0.9654232273996257,-0.862420789721159,-0.6040473065095171
2025-05-01 00:49:00+00:00,-0.576552247699337,-0.5218987038008907,-1.4390257972417848,-0.6952859479014093
2025-05-01 00:50:00+00:00,-0.5920623972856374,-0.6175776362544759,-1.8121842257704706,-0.7534517785074448
2025-05-01 00:51:00+00:00,-0.5683037082086292,-0.813868750410712,-1.3499606251250906,-0.3367107297543497
2025-05-01 00:52:00+00:00,-0.3247972705039201,-0.2362448516286562,-0.8450942291947267,-0.10985027745708091
2025-05-01 00:53:00+00:00,-0.4863756416767006,-0.2539484714476565,-1.5445555609026695,-0.8011147362780734
2025-05-01 00:54:00+00:00,-1.5195116785685292,-0.8136950559936446,-0.4574151484567968,-0.3653942888805426
2025-05-01 00:55:00+00:00,-0.2236067977462663,-0.3784890596303518,0.48982589156756534,0.7373372158574972
2025-05-01 00:56:00+00:00,0.32009032106868074,1.100164715401908,-0.40988194943854755,0.14041446485376852
2025-05-01 00:57:00+00:00,0.21945548095706152,-0.2758581584900132,0.6162814682056725,0.6471388297235567
2025-05-01 00:58:00+00:00,0.842043625113081,0.2639926836683081,-0.24177915733820857,-0.09062701851575715
2025-05-01 00:59:00+00:00,-0.3527979985444527,-0.1216450072646329,-0.8598897505430626,-0.4328093617942123
2025-05-01 01:00:00+00:00,-1.7703165305170787,-0.8148411764662539,-1.6622072653896263,-2.956189223687822
